&#8482;|™
&iquest;|¿
&#192;|À
&Agrave;|À
&#193;|Á
&Aacute;|Á
&#194;|Â
&Acirc;|Â
&#195;|Ã
&Atilde;|Ã
&#196;|Ä
&Auml;|Ä
&#197|Å
&Aring;|Å
&#198;|Æ
&AElig;|Æ
&#199;|Ç
&Ccedil;|Ç
&#200;|È
&Egrave;|È
&#201;|É
&Eacute;|É
&#202;|Ê
&Ecirc;|Ê
&#203;|Ë
&Euml;|Ë
&#204;|Ì
&Igrave;|Ì
&#205;|Í
&Iacute;|Í
&#206;|Î
&Icirc;|Î
&#207;|Ï
&Iuml;|Ï
&#208;|Ð
&ETH;|Ð
&#209;|Ñ
&Ntilde;|Ñ
&#210;|Ò
&Ograve;|Ò
&#211;|Ó
&Oacute;|Ó
&#212;|Ô
&Ocirc;|Ô
&#213;|Õ
&Otilde;|Õ
&#214;|Ö
&Ouml;|Ö
&#215;|×
&times;|×
&#216;|Ø
&Oslash;|Ø
&#217;|Ù
&Ugrave;|Ù
&#218;|Ú
&Uacute;|Ú
&#219;|Û
&Ucirc;|Û
&#220;|Ü
&Uuml;|Ü
&#221;|Ý
&Yacute;|Ý
&#222;|Þ
&THORN;|Þ
&#223;|ß
&szlig;|ß
&#224;|à
&agrave;|à
&#225;|á
&aacute;|á
&#226;|â
&acirc;|â
&#227;|ã
&atilde;|ã
&#228;|ä
&auml;|ä
&#229;|å
&aring;|å
&#230;|æ
&aelig;|æ
&#231;|ç
&ccedil;|ç
&#232;|è
&egrave;|è
&#233;|é
&eacute;|é
&#234;|ê
&ecirc;|ê
&#235;|ë
&euml;|ë
&#236;|ì
&igrave;|ì
&#237|í
&iacute;|í
&#238;|î
&icirc;|î
&#239;|ï
&iuml;|ï
&#240;|ð
&eth;|ð
&#241;|ñ
&ntilde;|ñ
&#242;|ò
&ograve;|ò
&#243;|ó
&oacute;|ó
&#244;|ô
&ocirc;|ô
&#245;|õ
&otilde;|õ
&#246;|ö
&ouml;|ö
&#247;|÷
&divide;|÷
&#248;|ø
&oslash;|ø
&#249;|ù
&ugrave;|ù
&#250;|ú
&uacute;|ú
&#251;|û
&ucirc;|û
&#252;|ü
&uuml;|ü
&#253;|ý
&yacute;|ý
&#254;|þ
&thorn;|þ
&#255;|ÿ
&#256;|Ā
&#257;|ā
&#258;|Ă
&#259;|ă
&#260;|Ą
&#261;|ą
&#262;|Ć
&#263;|ć
&#264;|Ĉ
&#265;|ĉ
&#266;|Ċ
&#267;|ċ
&#268;|Č
&#269;|č
&#270;|Ď
&#271;|ď
&#272;|Đ
&#273;|đ
&#274;|Ē
&#275;|ē
&#276;|Ĕ
&#277|ĕ
&#278;|Ė
&#279;|ė
&#280;|Ę
&#281;|ę
&#282;|Ě
&#283;|ě
&#284;|Ĝ
&#285;|ĝ
&#286;|Ğ
&#287;|ğ
&#288;|Ġ
&#289;|ġ
&#290;|Ģ
&#291;|ģ
&#292;|Ĥ
&#293;|ĥ
&#294;|Ħ
&#295;|ħ
&#296;|Ĩ
&#297;|ĩ
&#298;|Ī
&#299;|ī
&#300;|Ĭ
&#301;|ĭ
&#302;|Į
&#303;|į
&#304;|İ
&#305;|ı
&#306;|Ĳ
&#307;|ĳ
&#308;|Ĵ
&#309;|ĵ
&#310;|Ķ
&#311;|ķ
&#312;|ĸ
&#313;|Ĺ
&#314;|ĺ
&#315;|Ļ
&#316;|ļ
&#317|Ľ
&#318;|ľ
&#319;|Ŀ
&#320;|ŀ
&#321;|Ł
&#322;|ł
&#323;|Ń
&#324;|ń
&#325;|Ņ
&#326;|ņ
&#327;|Ň
&#328;|ň
&#329;|ŉ
&#330;|Ŋ
&#331;|ŋ
&#332;|Ō
&#333;|ō
&#334;|Ŏ
&#335;|ŏ
&#336;|Ő
&#337;|ő
&#338;|Œ
&#339;|œ
&#340;|Ŕ
&#341;|ŕ
&#342;|Ŗ
&#343;|ŗ
&#344;|Ř
&#345;|ř
&#346;|Ś
&#347;|ś
&#348;|Ŝ
&#349;|ŝ
&#350;|Ş
&#351;|ş
&#352;|Š
&#353;|š
&#354;|Ţ
&#355;|ţ
&#356;|Ť
&#357|ť
&#358;|Ŧ
&#359;|ŧ
&#360;|Ũ
&#361;|ũ
&#362;|Ū
&#363;|ū
&#364;|Ŭ
&#365;|ŭ
&#366;|Ů
&#367;|ů
&#368;|Ű
&#369;|ű
&#370;|Ų
&#371;|ų
&#372;|Ŵ
&#373;|ŵ
&#374;|Ŷ
&#375;|ŷ
&#376;|Ÿ
&#377;|Ź
&#378;|ź
&#379;|Ż
&#380;|ż
&#381;|Ž
&#382;|ž
&#383;|ſ
&#340;|Ŕ
&#341;|ŕ
&#342;|Ŗ
&#343;|ŗ
&#344;|Ř
&#345;|ř
&#346;|Ś
&#347;|ś
&#348;|Ŝ
&#349;|ŝ
&#350;|Ş
&#351;|ş
&#352;|Š
&#353;|š
&#354;|Ţ
&#355;|ţ
&#356;|Ť
&#577;|ť
&#358;|Ŧ
&#359;|ŧ
&#360;|Ũ
&#361;|ũ
&#362;|Ū
&#363;|ū
&#364;|Ŭ
&#365;|ŭ
&#366;|Ů
&#367;|ů
&#368;|Ű
&#369;|ű
&#370;|Ų
&#371;|ų
&#372;|Ŵ
&#373;|ŵ
&#374;|Ŷ
&#375;|ŷ
&#376;|Ÿ
&#377|Ź
&#378;|ź
&#379;|Ż
&#380;|ż
&#381;|Ž
&#382;|ž
&#383;|ſ
